"﻿web_scraper_order","web_scraper_start_url","sede","codigo","horario","grupo","creditos"
"1789514539-1","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","MAR[17:00-20:50]","1","4"
"1789514539-2","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO LOCAL SAN CARLOS","AE4208","MAR[07:55-11:30]","50","4"
"1789514539-3","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO LOCAL SAN JOSE","AE4208","JUE[13:00-16:50]","40","4"
"1789514539-4","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","JUE[17:00-20:50]","3","4"
"1789514539-5","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","MIE[17:00-20:50]","2","4"
"1789514539-6","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","LUN[07:30-11:20]","5","4"
"1789514539-7","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","JUE[17:00-20:50]","6","4"
"1789514539-8","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","VIE[07:30-11:20]","4","4"
"1789514539-9","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CENTRO ACADEMICO DE ALAJUELA","AE4208","MIE[17:00-20:50]","20","4"
"1789514539-10","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","AE4208","VIE[07:30-11:20]","7","4"
"1789514539-11","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1101","JUE[07:30-09:20] MAR[07:30-09:20]","1","3"
"1789514539-12","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1101","JUE[09:30-11:20] MAR[09:30-11:20]","2","3"
"1789514539-13","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1103","JUE[09:30-11:20] MAR[09:30-11:20]","3","4"
"1789514539-14","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1103","JUE[15:00-16:50] MAR[15:00-16:50]","2","4"
"1789514539-15","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1103","MIE[17:00-18:50] VIE[17:00-18:50]","1","4"
"1789514539-16","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1104","JUE[07:30-09:20] MAR[07:30-09:20]","1","3"
"1789514539-17","https://tec-appsext.itcr.ac.cr/guiahorarios/estudiante.aspx","CAMPUS TECNOLOGICO CENTRAL CARTAGO","CE1105","JUE[19:00-20:50] MAR[19:00-20:50]","3","3"
