"web_scraper_order","web_scraper_start_url","pagination","codigo","title","nombre","requisitos","correquisitos","data4","data5","data6","data7","data8","creditos"
"1789513157-1","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CI0205","CI0205 - prueba avanzada inglés","prueba avanzada inglés","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","0","0"
"1789513157-2","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","MA0101","MA0101 - matemática general","matemática general","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","5","2"
"1789513157-3","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CE1101","CE1101 - introducción a la programación","introducción a la programación","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","9","3"
"1789513157-4","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CE1104","CE1104 - fundamentos de sistemas computacionales","fundamentos de sistemas computacionales","No hay","CE1101","Créditos","Horas","Requisitos:","Correquisitos:","9","3"
"1789513157-5","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","MA1102","MA1102 - cálculo diferencial e integral","cálculo diferencial e integral","MA0101","No hay","Créditos","Horas","Requisitos:","Correquisitos:","5","4"
"1789513157-6","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","MA1403","MA1403 - matemática discreta","matemática discreta","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","4","4"
"1789513157-7","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","QU1102","QU1102 - laboratorio de química básica i","laboratorio de química básica i","No hay","QU1106","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1789513157-8","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","QU1106","QU1106 - química básica i","química básica i","No hay","QU1102","Créditos","Horas","Requisitos:","Correquisitos:","4","3"
"1789513157-9","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","SE1100","SE1100 - actividad cultural i","actividad cultural i","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","0"
"1789513157-10","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","SE1200","SE1200 - actividad deportiva i","actividad deportiva i","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","0"
"1789513157-11","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CE1103","CE1103 - algoritmos y estructuras de datos i","algoritmos y estructuras de datos i","CE1101, CE1104, MA1403","No hay","Créditos","Horas","Requisitos:","Correquisitos:","12","4"
"1789513157-12","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CE1105","CE1105 - principios de modelado en ingeniería","principios de modelado en ingeniería","CE1104","No hay","Créditos","Horas","Requisitos:","Correquisitos:","9","3"
"1789513157-13","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CI1407","CI1407 - habilidades de comunicación en ingeniería","habilidades de comunicación en ingeniería","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","6","2"
"1789513157-14","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","CS1502","CS1502 - introducción a la técnica ciencia y tecnología","introducción a la técnica ciencia y tecnología","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1789513157-15","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","FI1101","FI1101 - física general i","física general i","MA1102","No hay","Créditos","Horas","Requisitos:","Correquisitos:","4","3"
"1789513157-16","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","FI1201","FI1201 - laboratorio física general i","laboratorio física general i","No hay","FI1101","Créditos","Horas","Requisitos:","Correquisitos:","2","1"
"1789513157-17","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","MA1103","MA1103 - cálculo y álgebra lineal","cálculo y álgebra lineal","MA1102","No hay","Créditos","Horas","Requisitos:","Correquisitos:","4","4"
"1789513157-18","https://www.tec.ac.cr/licenciatura-ingenieria-computadores","","SE1400","SE1400 - actividad cultural-deportiva","actividad cultural-deportiva","No hay","No hay","Créditos","Horas","Requisitos:","Correquisitos:","2","0"
